Row Labels,Easthill Road,Elm Crescent,Forest Road,Maple Drive East,YMCA,Grand Total
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0.65,0,0,0,0.65
4,1.76,5.46,0,0,5.57,12.79
5,62.52,49.69,40.29,3.58,138.85,294.93
6,276.32,410.9,284.98,64.45,602.36,1639.01
7,629.28,1495.96,792.65,276.33,2059.44,5253.66
8,1356.79,3342.26,1493.92,738.99,4800.44,11732.4
9,2196.39,5350.27,2529.22,1436.2,7309.73,18821.81
10,2533.03,7108.73,5356.21,2491.88,9357.92,26847.77
11,2904.53,8783.46,7972.4,4400.75,10731.99,34793.13
12,3044.63,9870.83,9309.97,6331.28,10709.92,39266.63
13,3082.76,9516.03,9166.97,6586.24,9319.33,37671.33
14,2729,9359.77,8901.37,6118.4,7531.85,34640.39
15,2138.72,8222.27,7788.75,6093.77,6547.26,30790.77
16,1393.88,6481.53,5935.78,4572.19,5021.58,23404.96
17,591.69,4379.58,4053.19,2073.19,3073.94,14171.59
18,182.59,2848.82,2554.01,1230.01,2003.93,8819.36
19,37.61,1441.86,1262.75,305.73,683.04,3730.99
20,0.53,388.6,354.2,87.91,78.24,909.48
21,0,37.65,37.12,4.78,0,79.55
22,0,0,0,0,0,0
23,0,0,0,0,0,0
,,,,,,
